2025-01-29 16:44:29.5721 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-29 16:44:34.2169 | WARN | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert.
2025-01-29 16:44:34.2711 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5002
2025-01-29 16:44:34.2749 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5003
2025-01-29 16:44:34.2749 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.
2025-01-29 16:44:34.2749 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development
2025-01-29 16:44:34.2749 | INFO | Microsoft.Hosting.Lifetime | Content root path: F:\Maulik Bhatt (RKIT)\RKIT Training\DotNet Core\BlogManagementSystem
2025-01-29 16:44:34.8817 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/swagger/index.html - -
2025-01-29 16:44:35.4680 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/swagger/index.html - - - 200 - text/html;charset=utf-8 598.5748ms
2025-01-29 16:44:35.4890 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/_framework/aspnetcore-browser-refresh.js - -
2025-01-29 16:44:35.4923 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/_framework/aspnetcore-browser-refresh.js - - - 200 12010 application/javascript;+charset=utf-8 3.3209ms
2025-01-29 16:44:35.4923 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/_vs/browserLink - -
2025-01-29 16:44:35.6631 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 169.1878ms
2025-01-29 16:44:35.8999 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/swagger/v1/swagger.json - -
2025-01-29 16:44:36.1292 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 229.3178ms
